source_concept_code,source_concept_id,source_vocabulary_id,source_domain,source_concept_class_id,source_description,source_description_synonym,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,mapping_justification,mapping_tool,author_label,review_date,reviewer_name,reviewer_specialty,status,valid_start_date,valid_end_date,source_frequency
312508,,EU1_Ethnicity_Pat,,,"Unreported, Unknown, Unavailable",,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
NOTRECORDED,,EU1_Ethnicity_Pat,,,Not Recorded,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
312506,,EU1_Ethnicity_Pat,,,Hispanic or Latino,,Maps to,exactMatch,1.0,38003563,Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1565395161,,EU1_Ethnicity_Pat,,,Unknown~Non-Hispanic,,Maps to,exactMatch,1.0,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1231368306,,EU1_Ethnicity_Pat,,,Unknown~Non-Hispanic,,Maps to,exactMatch,1.0,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1641210453,,EU1_Ethnicity_Pat,,,Non-Hispanic~Unknown,,Maps to,exactMatch,1.0,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2100170165,,EU1_Ethnicity_Pat,,,Unknown~Hispanic,,Maps to,exactMatch,1.0,38003563,Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1565528481,,EU1_Ethnicity_Pat,,,CD:1565395161,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1642776725,,EU1_Ethnicity_Pat,,,CD:1641210453,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2100707537,,EU1_Ethnicity_Pat,,,CD:2100170165,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1793397901,,EU1_Ethnicity_Pat,,,CD:1719092855,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1862937909,,EU1_Ethnicity_Pat,,,CD:1858666135,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1231463781,,EU1_Ethnicity_Pat,,,CD:1231368306,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1828714931,,EU1_Ethnicity_Pat,,,CD:1826237021,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1808060937,,EU1_Ethnicity_Pat,,,CD:1793397901,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1570182867,,EU1_Ethnicity_Pat,,,CD:1565528481,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1882014427,,EU1_Ethnicity_Pat,,,CD:1862937909,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2206122567,,EU1_Ethnicity_Pat,,,CD:1255638694,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1693053577,,EU1_Ethnicity_Pat,,,CD:1688742403,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1833102475,,EU1_Ethnicity_Pat,,,CD:1828714931,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1702624199,,EU1_Ethnicity_Pat,,,CD:1702559101,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1655895543,,EU1_Ethnicity_Pat,,,CD:1642776725,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1826237021,,EU1_Ethnicity_Pat,,,CD:1808060937,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2112660279,,EU1_Ethnicity_Pat,,,CD:2100707537,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2268368555,,EU1_Ethnicity_Pat,,,CD:2264735701,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2214050863,,EU1_Ethnicity_Pat,,,CD:2206122567,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1255638694,,EU1_Ethnicity_Pat,,,CD:1251629353,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1716774027,,EU1_Ethnicity_Pat,,,CD:1565395161~Non-Hispanic,,Maps to,exactMatch,1.0,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1688742403,,EU1_Ethnicity_Pat,,,CD:1655895543,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1702559101,,EU1_Ethnicity_Pat,,,CD:1693053577,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1233469218,,EU1_Ethnicity_Pat,,,CD:1231463781,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2274786605,,EU1_Ethnicity_Pat,,,CD:2268368555,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2043078029,,EU1_Ethnicity_Pat,,,CD:2030097565,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1858666135,,EU1_Ethnicity_Pat,,,CD:1847885097,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2117806975,,EU1_Ethnicity_Pat,,,CD:2112660279,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1251629353,,EU1_Ethnicity_Pat,,,CD:12313683061,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1902530759,,EU1_Ethnicity_Pat,,,CD:1894873037,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2240888237,,EU1_Ethnicity_Pat,,,CD:2214050863,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2124532189,,EU1_Ethnicity_Pat,,,CD:2117806975,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2084823931,,EU1_Ethnicity_Pat,,,CD:2054978459,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1847885097,,EU1_Ethnicity_Pat,,,CD:1833102475,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1949968987,,EU1_Ethnicity_Pat,,,CD:1902530759,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2282805219,,EU1_Ethnicity_Pat,,,CD:2274786605,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2264735701,,EU1_Ethnicity_Pat,,,CD:2263289725,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2320383351,,EU1_Ethnicity_Pat,,,CD:2292575253,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1894873037,,EU1_Ethnicity_Pat,,,CD:1882014427,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1703045991,,EU1_Ethnicity_Pat,,,CD:1702624199,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2087555561,,EU1_Ethnicity_Pat,,,CD:2084823931,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
2054978459,,EU1_Ethnicity_Pat,,,CD:2043078029,,,noMatch,1.0,0,,,,"Unknown Ethnicity does not exist in OMOP, so Unknown Race is used",MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
362,,EU1_Gender_Pat,,,Female,,Maps to,exactMatch,1.0,8532,FEMALE,Gender,Gender,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
363,,EU1_Gender_Pat,,,Male,,Maps to,exactMatch,1.0,8507,MALE,Gender,Gender,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
364,,EU1_Gender_Pat,,,Unknown,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
NOTRECORDED,,EU1_Gender_Pat,,,Not Recorded,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
11251935,,EU1_Gender_Pat,,,Unspecified,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
254857469,,EU1_Gender_Pat,,,Description Missing,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
DESCMISSING,,EU1_Gender_Pat,,,Description Missing,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432603116,,EU1_Spec_Personnel,,,Anesthesiology,,Maps to,exactMatch,1.0,38004450,Anesthesiology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432615462,,EU1_Spec_Personnel,,,Hospitalist,,Maps to,exactMatch,1.0,903278,Hospital Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432611892,,EU1_Spec_Personnel,,,Emergency Medicine,,Maps to,exactMatch,1.0,38004510,Emergency Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432604635,,EU1_Spec_Personnel,,,Cardiovascular Disease,,Maps to,exactMatch,1.0,38004451,Cardiology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432626047,,EU1_Spec_Personnel,,,Orthopaedic Surgery,,Maps to,exactMatch,1.0,38004465,Orthopedic Surgery,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432644650,,EU1_Spec_Personnel,,,Surgery,,Maps to,exactMatch,1.0,38004447,General Surgery,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432620372,,EU1_Spec_Personnel,,,Neurology,,Maps to,exactMatch,1.0,38004458,Neurology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432626174,,EU1_Spec_Personnel,,,Otolaryngology,,Maps to,exactMatch,1.0,38004449,Otolaryngology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432610918,,EU1_Spec_Personnel,,,Critical Care Medicine,,Maps to,exactMatch,1.0,38004500,Critical care (intensivist),Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432619969,,EU1_Spec_Personnel,,,Nephrology,,Maps to,exactMatch,1.0,38004479,Nephrology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432624094,,EU1_Spec_Personnel,,,Obstetrics and Gynecology,,Maps to,exactMatch,1.0,38004461,Obstetrics / Gynecology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432615823,,EU1_Spec_Personnel,,,Internal Medicine,,Maps to,exactMatch,1.0,38004456,Internal Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432612887,,EU1_Spec_Personnel,,,Family Medicine - Primary Care,,Maps to,exactMatch,1.0,38004453,Family Practice,Medicare Specialty,Visit,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432611735,,EU1_Spec_Personnel,,,Diagnostic Radiology,,Maps to,exactMatch,1.0,38004675,Physician / Diagnostic Radiology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432616173,,EU1_Spec_Personnel,,,Internal Medicine - Primary Care,,Maps to,exactMatch,1.0,38004456,Internal Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432619272,,EU1_Spec_Personnel,,,Medical Oncology,,Maps to,exactMatch,1.0,38004507,Medical Oncology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432613088,,EU1_Spec_Personnel,,,Gastroenterology,,Maps to,exactMatch,1.0,38004455,Gastroenterology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432642866,,EU1_Spec_Personnel,,,Pulmonary Disease,,Maps to,exactMatch,1.0,38004472,Pulmonary Disease,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432604258,,EU1_Spec_Personnel,,,Cardiology,,Maps to,exactMatch,1.0,38004451,Cardiology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432624586,,EU1_Spec_Personnel,,,Ophthalmology,,Maps to,exactMatch,1.0,38004463,Ophthalmology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432646183,,EU1_Spec_Personnel,,,Urology,,Maps to,exactMatch,1.0,38004474,Urology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432615682,,EU1_Spec_Personnel,,,Infectious Disease,,Maps to,exactMatch,1.0,38004484,Infectious Disease,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432614369,,EU1_Spec_Personnel,,,Hematology,,Maps to,exactMatch,1.0,38004501,Hematology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432641623,,EU1_Spec_Personnel,,,Primary Care-Internal Medicine,,Maps to,exactMatch,1.0,38004456,Internal Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432614558,,EU1_Spec_Personnel,,,Hematology/Oncology,,Maps to,exactMatch,1.0,38004502,Hematology / Oncology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432645128,,EU1_Spec_Personnel,,,Thoracic Surgery,,Maps to,exactMatch,1.0,38004473,Thoracic Surgery,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432620150,,EU1_Spec_Personnel,,,Neurological Surgery,,Maps to,exactMatch,1.0,38004459,Neurosurgery,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432619795,,EU1_Spec_Personnel,,,Neonatal-Perinatal Medicine,,Maps to,exactMatch,1.0,38004477,Pediatric Medicine,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432612613,,EU1_Spec_Personnel,,,Family Medicine,,Maps to,exactMatch,1.0,38004453,Family Practice,Medicare Specialty,Visit,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432611419,,EU1_Spec_Personnel,,,Dermatology,,Maps to,exactMatch,1.0,38004452,Dermatology,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
432639521,,EU1_Spec_Personnel,,,Plastic Surgery,,Maps to,exactMatch,1.0,38004467,Plastic And Reconstructive Surgery,Medicare Specialty,Provider,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
