session_id,agent_index,description,timestamp,is_clinical_review,prompt_chars,prompt_words,result_chars,result_words,total_chars,total_words
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,6,Subagent 6: lines 6793-6892,2026-03-06T11:10:01.506Z,True,2378,272,641,89,3019,361
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,7,Subagent 7: lines 6893-6992,2026-03-06T11:10:11.470Z,True,2410,272,641,89,3051,361
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,8,Subagent 8: lines 6993-7092,2026-03-06T11:10:19.480Z,True,2206,240,641,89,2847,329
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,9,Subagent 9: lines 7093-7192,2026-03-06T11:10:37.065Z,True,3541,409,641,89,4182,498
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,10,Subagent 10: lines 7193-7292,2026-03-06T11:10:59.924Z,True,4432,512,641,89,5073,601
e96bdb30-d862-44eb-bc88-f38a181d6440,1,Clinical review subagent 1,2026-03-06T12:47:35.146Z,True,5340,670,641,89,5981,759
e96bdb30-d862-44eb-bc88-f38a181d6440,2,Clinical review subagent 2,2026-03-06T12:47:48.340Z,True,3580,444,641,89,4221,533
e96bdb30-d862-44eb-bc88-f38a181d6440,3,Clinical review subagent 3,2026-03-06T12:47:59.945Z,True,3230,413,641,89,3871,502
e96bdb30-d862-44eb-bc88-f38a181d6440,4,Clinical review subagent 4,2026-03-06T12:48:08.143Z,True,2870,348,641,89,3511,437
e96bdb30-d862-44eb-bc88-f38a181d6440,5,Clinical review subagent 5,2026-03-06T12:48:22.352Z,True,3295,429,641,89,3936,518
e96bdb30-d862-44eb-bc88-f38a181d6440,6,Clinical review subagent 6,2026-03-06T12:48:39.406Z,True,3893,495,641,89,4534,584
e96bdb30-d862-44eb-bc88-f38a181d6440,7,Clinical review subagent 7,2026-03-06T12:48:51.726Z,True,3496,442,641,89,4137,531
e96bdb30-d862-44eb-bc88-f38a181d6440,8,Clinical review subagent 8,2026-03-06T12:49:05.396Z,True,3563,453,641,89,4204,542
e96bdb30-d862-44eb-bc88-f38a181d6440,9,Clinical review subagent 9,2026-03-06T12:49:21.866Z,True,3902,487,641,89,4543,576
e96bdb30-d862-44eb-bc88-f38a181d6440,10,Clinical review subagent 10,2026-03-06T12:49:35.865Z,True,4103,541,641,89,4744,630
agent-acompact-45f974f73d412e25,1,Clinical review subagent 1,2026-03-06T12:47:35.146Z,True,5340,670,641,89,5981,759
agent-acompact-45f974f73d412e25,2,Clinical review subagent 2,2026-03-06T12:47:48.340Z,True,3580,444,641,89,4221,533
agent-acompact-45f974f73d412e25,3,Clinical review subagent 3,2026-03-06T12:47:59.945Z,True,3230,413,641,89,3871,502
agent-acompact-45f974f73d412e25,4,Clinical review subagent 4,2026-03-06T12:48:08.143Z,True,2870,348,641,89,3511,437
agent-acompact-45f974f73d412e25,5,Clinical review subagent 5,2026-03-06T12:48:22.352Z,True,3295,429,641,89,3936,518
agent-acompact-45f974f73d412e25,6,Clinical review subagent 6,2026-03-06T12:48:39.406Z,True,3893,495,641,89,4534,584
agent-acompact-45f974f73d412e25,7,Clinical review subagent 7,2026-03-06T12:48:51.726Z,True,3496,442,641,89,4137,531
agent-acompact-45f974f73d412e25,8,Clinical review subagent 8,2026-03-06T12:49:05.396Z,True,3563,453,641,89,4204,542
agent-acompact-45f974f73d412e25,9,Clinical review subagent 9,2026-03-06T12:49:21.866Z,True,3902,487,641,89,4543,576
agent-acompact-45f974f73d412e25,10,Clinical review subagent 10,2026-03-06T12:49:35.865Z,True,4103,541,641,89,4744,630
c6d52466-8779-44a7-ad1d-984f53b3b9f3,1,Clinical review subagent 1,2026-03-06T13:16:44.028Z,True,4856,619,641,89,5497,708
c6d52466-8779-44a7-ad1d-984f53b3b9f3,2,Clinical review subagent 2,2026-03-06T13:16:54.954Z,True,4087,513,641,89,4728,602
c6d52466-8779-44a7-ad1d-984f53b3b9f3,3,Clinical review subagent 3,2026-03-06T13:17:05.027Z,True,4028,509,641,89,4669,598
c6d52466-8779-44a7-ad1d-984f53b3b9f3,4,Clinical review subagent 4,2026-03-06T13:17:14.713Z,True,3110,376,641,89,3751,465
c6d52466-8779-44a7-ad1d-984f53b3b9f3,5,Clinical review subagent 5,2026-03-06T13:17:24.044Z,True,3100,379,641,89,3741,468
c6d52466-8779-44a7-ad1d-984f53b3b9f3,6,Clinical review subagent 6,2026-03-06T13:17:36.781Z,True,3196,392,641,89,3837,481
c6d52466-8779-44a7-ad1d-984f53b3b9f3,7,Clinical review subagent 7,2026-03-06T13:17:46.756Z,True,3163,404,641,89,3804,493
c6d52466-8779-44a7-ad1d-984f53b3b9f3,8,Clinical review subagent 8,2026-03-06T13:17:55.793Z,True,2991,378,641,89,3632,467
c6d52466-8779-44a7-ad1d-984f53b3b9f3,9,Clinical review subagent 9,2026-03-06T13:18:03.466Z,True,2918,372,641,89,3559,461
c6d52466-8779-44a7-ad1d-984f53b3b9f3,10,Clinical review subagent 10,2026-03-06T13:18:11.652Z,True,2838,356,641,89,3479,445
83971089-abd9-4cd3-bc9c-bf94a7910463,1,Clinical review subagent 1,2026-03-06T13:33:35.433Z,True,3608,469,641,89,4249,558
83971089-abd9-4cd3-bc9c-bf94a7910463,2,Clinical review subagent 2,2026-03-06T13:33:45.922Z,True,3807,494,641,89,4448,583
83971089-abd9-4cd3-bc9c-bf94a7910463,3,Clinical review subagent 3,2026-03-06T13:34:01.533Z,True,4263,546,641,89,4904,635
83971089-abd9-4cd3-bc9c-bf94a7910463,4,Clinical review subagent 4,2026-03-06T13:34:17.117Z,True,4207,529,641,89,4848,618
83971089-abd9-4cd3-bc9c-bf94a7910463,5,Clinical review subagent 5,2026-03-06T13:34:31.729Z,True,4113,515,641,89,4754,604
83971089-abd9-4cd3-bc9c-bf94a7910463,6,Clinical review subagent 6,2026-03-06T13:34:48.276Z,True,3620,453,641,89,4261,542
83971089-abd9-4cd3-bc9c-bf94a7910463,7,Clinical review subagent 7,2026-03-06T13:35:05.738Z,True,4310,533,641,89,4951,622
83971089-abd9-4cd3-bc9c-bf94a7910463,8,Clinical review subagent 8,2026-03-06T13:35:26.325Z,True,4511,587,641,89,5152,676
83971089-abd9-4cd3-bc9c-bf94a7910463,9,Clinical review subagent 9,2026-03-06T13:35:45.978Z,True,4566,578,641,89,5207,667
83971089-abd9-4cd3-bc9c-bf94a7910463,10,Clinical review subagent 10,2026-03-06T13:36:03.394Z,True,4194,519,641,89,4835,608
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,1,Subagent 1: lines 11294-11393,2026-03-06T14:09:03.022Z,True,3502,449,641,89,4143,538
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,2,Subagent 2: lines 11394-11493,2026-03-06T14:09:11.168Z,True,3080,383,641,89,3721,472
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,3,Subagent 3: lines 11494-11593,2026-03-06T14:09:19.170Z,True,2790,337,641,89,3431,426
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,4,Subagent 4: lines 11594-11693,2026-03-06T14:09:27.761Z,True,2863,345,641,89,3504,434
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,5,Subagent 5: lines 11694-11793,2026-03-06T14:09:41.747Z,True,3527,432,641,89,4168,521
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,6,Subagent 6: lines 11794-11893,2026-03-06T14:09:58.801Z,True,3694,458,641,89,4335,547
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,7,Subagent 7: lines 11894-11993,2026-03-06T14:10:14.463Z,True,3991,500,641,89,4632,589
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,8,Subagent 8: lines 11994-12093,2026-03-06T14:10:33.503Z,True,4575,568,641,89,5216,657
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,9,Subagent 9: lines 12094-12193,2026-03-06T14:10:51.044Z,True,4283,529,641,89,4924,618
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,10,Subagent 10: lines 12194-12293,2026-03-06T14:11:08.323Z,True,4477,564,641,89,5118,653
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,1,Clinical review subagent 1,2026-03-06T14:27:33.327Z,True,4844,592,641,89,5485,681
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,2,Clinical review subagent 2,2026-03-06T14:27:51.717Z,True,4705,582,641,89,5346,671
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,3,Clinical review subagent 3,2026-03-06T14:28:06.458Z,True,3981,500,641,89,4622,589
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,4,Clinical review subagent 4,2026-03-06T14:28:23.500Z,True,4188,521,641,89,4829,610
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,5,Clinical review subagent 5,2026-03-06T14:28:38.818Z,True,4037,531,641,89,4678,620
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,6,Clinical review subagent 6,2026-03-06T14:28:58.502Z,True,4685,604,641,89,5326,693
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,7,Clinical review subagent 7,2026-03-06T14:29:14.384Z,True,4125,543,641,89,4766,632
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,8,Clinical review subagent 8,2026-03-06T14:29:34.751Z,True,4728,583,641,89,5369,672
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,9,Clinical review subagent 9,2026-03-06T14:29:50.860Z,True,4563,591,641,89,5204,680
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,10,Clinical review subagent 10,2026-03-06T14:30:15.859Z,True,5535,695,641,89,6176,784
agent-acompact-89542ceb926a72b0,1,Clinical review subagent 1,2026-03-06T14:27:33.327Z,True,4844,592,641,89,5485,681
agent-acompact-89542ceb926a72b0,2,Clinical review subagent 2,2026-03-06T14:27:51.717Z,True,4705,582,641,89,5346,671
agent-acompact-89542ceb926a72b0,3,Clinical review subagent 3,2026-03-06T14:28:06.458Z,True,3981,500,641,89,4622,589
agent-acompact-89542ceb926a72b0,4,Clinical review subagent 4,2026-03-06T14:28:23.500Z,True,4188,521,641,89,4829,610
agent-acompact-89542ceb926a72b0,5,Clinical review subagent 5,2026-03-06T14:28:38.818Z,True,4037,531,641,89,4678,620
agent-acompact-89542ceb926a72b0,6,Clinical review subagent 6,2026-03-06T14:28:58.502Z,True,4685,604,641,89,5326,693
agent-acompact-89542ceb926a72b0,7,Clinical review subagent 7,2026-03-06T14:29:14.384Z,True,4125,543,641,89,4766,632
agent-acompact-89542ceb926a72b0,8,Clinical review subagent 8,2026-03-06T14:29:34.751Z,True,4728,583,641,89,5369,672
agent-acompact-89542ceb926a72b0,9,Clinical review subagent 9,2026-03-06T14:29:50.860Z,True,4563,591,641,89,5204,680
agent-acompact-89542ceb926a72b0,10,Clinical review subagent 10,2026-03-06T14:30:15.859Z,True,5535,695,641,89,6176,784
0dbba6cc-3c16-4898-a9a8-c0886b472229,1,Plan batch 13294-14293,2026-03-06T15:02:04.238Z,True,1735,251,5939,788,7674,1039
0dbba6cc-3c16-4898-a9a8-c0886b472229,2,Review agent 1 lines 13294-13393,2026-03-06T15:04:01.783Z,True,4754,581,641,89,5395,670
0dbba6cc-3c16-4898-a9a8-c0886b472229,3,Review agent 2 lines 13394-13493,2026-03-06T15:04:13.628Z,True,4726,581,641,89,5367,670
0dbba6cc-3c16-4898-a9a8-c0886b472229,4,Review agent 3 lines 13494-13593,2026-03-06T15:04:26.766Z,True,4752,581,641,89,5393,670
0dbba6cc-3c16-4898-a9a8-c0886b472229,5,Review agent 4 lines 13594-13693,2026-03-06T15:04:39.300Z,True,4397,546,641,89,5038,635
0dbba6cc-3c16-4898-a9a8-c0886b472229,6,Review agent 5 lines 13694-13793,2026-03-06T15:04:51.857Z,True,4180,518,641,89,4821,607
0dbba6cc-3c16-4898-a9a8-c0886b472229,7,Review agent 6 lines 13794-13893,2026-03-06T15:05:08.415Z,True,4306,525,641,89,4947,614
0dbba6cc-3c16-4898-a9a8-c0886b472229,8,Review agent 7 lines 13894-13993,2026-03-06T15:05:21.496Z,True,3977,511,641,89,4618,600
0dbba6cc-3c16-4898-a9a8-c0886b472229,9,Review agent 8 lines 13994-14093,2026-03-06T15:05:34.413Z,True,4115,525,641,89,4756,614
0dbba6cc-3c16-4898-a9a8-c0886b472229,10,Review agent 9 lines 14094-14193,2026-03-06T15:05:49.576Z,True,4374,544,641,89,5015,633
0dbba6cc-3c16-4898-a9a8-c0886b472229,11,Review agent 10 lines 14194-14293,2026-03-06T15:06:05.217Z,True,4539,582,641,89,5180,671
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,1,Plan batch 14294-15293,2026-03-06T15:36:51.233Z,True,1871,268,5431,753,7302,1021
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,2,Review agent 1 lines 14294-14393,2026-03-06T15:39:38.411Z,True,3266,402,641,89,3907,491
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,3,Review agent 2 lines 14394-14493,2026-03-06T15:39:47.297Z,True,3395,428,641,89,4036,517
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,4,Review agent 3 lines 14494-14593,2026-03-06T15:39:55.733Z,True,3421,429,641,89,4062,518
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,5,Review agent 4 lines 14594-14693,2026-03-06T15:40:05.649Z,True,3669,465,641,89,4310,554
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,6,Review agent 5 lines 14694-14793,2026-03-06T15:40:14.779Z,True,3399,455,641,89,4040,544
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,7,Review agent 6 lines 14794-14893,2026-03-06T15:40:43.423Z,True,2891,375,641,89,3532,464
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,8,Review agent 7 lines 14894-14993,2026-03-06T15:40:51.344Z,True,2842,361,641,89,3483,450
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,9,Review agent 8 lines 14994-15093,2026-03-06T15:40:58.606Z,True,2800,358,641,89,3441,447
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,10,Review agent 9 lines 15094-15193,2026-03-06T15:41:06.070Z,True,2814,356,641,89,3455,445
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,11,Review agent 10 lines 15194-15293,2026-03-06T15:41:13.327Z,True,2829,359,641,89,3470,448
fd1f96a5-0033-42c7-a572-8354e4ad792e,1,Explore history-rag session ingestion,2026-03-06T16:46:00.069Z,False,784,118,6620,768,7404,886
fd1f96a5-0033-42c7-a572-8354e4ad792e,2,Find history-rag data paths,2026-03-06T16:57:53.817Z,False,527,81,2192,276,2719,357
