source_concept_code,source_description,decision,target_concept_id,target_concept_name,target_vocabulary_id,target_concept_code,predicate_id,confidence,domain_id,qualifier_concept_id,qualifier_concept_name,qualifier_relationship_id,mapping_justification,needs_source_data,mapping_tool,reviewer_name,reviewer_type,review_date
10200314,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby A,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200323,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby B,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200324,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby B,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200333,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby C,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200334,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby C,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200343,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby D,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200344,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby D,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200353,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby E,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200354,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby E,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200363,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby F,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200364,Five Minute Apgar,map,3004221,5 minute Apgar Score,LOINC,9274-2,exactMatch,0.95,Measurement,,,,Five minute Apgar score for Baby F,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100131,Apnea Present During Test,map,321689,Apnea,SNOMED,1023001,exactMatch,0.9,Condition,,,,Apnea present during car seat challenge test,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100138,Patient Currently in Pain?,map,3034263,Pain severity - Reported,LOINC,38208-5,broadMatch,0.8,Observation,,,,Pain screening question in OB recovery,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100169,Pain Management Requests,map,3034263,Pain severity - Reported,LOINC,38208-5,broadMatch,0.7,Observation,,,,Pain management requests/preferences for labor delivery,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100223,Bishop Score,flag,,,,,broadMatch,,,,,,Bishop score for cervical ripeness; no specific OMOP concept exists,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100247,Volume of Infusion (mL),map,4309054,Measurement of intrauterine pressure,SNOMED,83827002,narrowMatch,0.8,Measurement,,,,Volume of infusion through IUPC,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100249,Returned Volume (Estimated g/mL),map,4309054,Measurement of intrauterine pressure,SNOMED,83827002,narrowMatch,0.75,Measurement,,,,Returned volume from IUPC measurement,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100253,Volume (mL) Magnesium,flag,,,,,broadMatch,,,,,,Volume of magnesium sulfate infusion; no specific OMOP concept for infusion volume,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100288,Number of Repair Packets,flag,,,,,broadMatch,,,,,,Number of repair packets used in delivery; no appropriate OMOP concept,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100295,Length of Stage 1 Minutes,map,4122728,Duration of labor,SNOMED,289248003,exactMatch,0.9,Measurement,,,,Length of labor stage 1 in minutes,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100379,Length of Stage 1 Hours,map,4122728,Duration of labor,SNOMED,289248003,exactMatch,0.9,Measurement,,,,Length of labor stage 1 in hours,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100380,Length of Stage 2 Minutes,map,4122728,Duration of labor,SNOMED,289248003,exactMatch,0.9,Measurement,,,,Length of labor stage 2 in minutes,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100383,Gestational Age at Birth,map,3012266,Gestational age,LOINC,18185-9,exactMatch,0.95,Measurement,,,,Gestational age at birth in weeks,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100384,Length of Stage 2 Hours,map,4122728,Duration of labor,SNOMED,289248003,exactMatch,0.9,Measurement,,,,Length of labor stage 2 in hours,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100445,Weight/Length Measurements Taken,map,4099154,Body weight,SNOMED,27113001,broadMatch,0.65,Measurement,,,,Weight/length measurements taken for bereavement checklist; clinical measurement presence,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100595,Is estimated Fetal Weight > 4 kg,map,1077387,Estimated fetal weight,SNOMED,627961000005109,exactMatch,0.9,Measurement,,,,Estimated fetal weight >4kg for PPH risk assessment,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100596,Number of previous vaginal births?,map,3016572,[#] Parity,LOINC,11977-6,exactMatch,0.9,Observation,,,,Number of previous vaginal births for PPH risk assessment,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100620,Hearing Examination,map,44791307,Newborn hearing screening,SNOMED,276761000000100,exactMatch,0.9,Measurement,,,,Hearing examination performed for perinatal core measures,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100621,Medical Reason Hearing Screen Not Done,map,44811996,Newborn hearing screening not done,SNOMED,909481000000101,exactMatch,0.9,Observation,,,,Medical reason hearing screen not done for perinatal core measures,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100622,Hearing Examination Left,map,44791307,Newborn hearing screening,SNOMED,276761000000100,exactMatch,0.9,Measurement,4300877,Left,Has laterality,Hearing examination left ear for perinatal core measures,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100623,Hearing Examination Right,map,44791307,Newborn hearing screening,SNOMED,276761000000100,exactMatch,0.9,Measurement,4080761,Right,Has laterality,Hearing examination right ear for perinatal core measures,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100625,Dietary Intake Other Than Breast Milk Administered - Narrative Documentation,map,4028154,Breast milk intake,SNOMED,226406001,broadMatch,0.75,Observation,,,,Dietary intake other than breast milk documented in perinatal core measures,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100645,Doppler/Fetoscope Rate (Fetus D),map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Doppler/Fetoscope fetal heart rate for Fetus D,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100647,FHR Baseline Rate (Fetus D),map,4092353,Baseline fetal heart rate,SNOMED,251670001,exactMatch,0.95,Measurement,,,,FHR baseline rate for Fetus D,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100649,Variability (Fetus D),map,4089747,Fetal heart rate variability,SNOMED,251671002,exactMatch,0.95,Measurement,,,,Fetal heart rate variability for Fetus D,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100655,Doppler/Fetoscope Rate (Fetus E),map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Doppler/Fetoscope fetal heart rate for Fetus E,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100656,FHR Baseline Rate (Fetus E),map,4092353,Baseline fetal heart rate,SNOMED,251670001,exactMatch,0.95,Measurement,,,,FHR baseline rate for Fetus E,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100658,Variability (Fetus E),map,4089747,Fetal heart rate variability,SNOMED,251671002,exactMatch,0.95,Measurement,,,,Fetal heart rate variability for Fetus E,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100670,SpO2: Post-Ductal (Either Foot),map,4020553,Oxygen saturation measurement,SNOMED,104847001,exactMatch,0.95,Measurement,,,,Post-ductal SpO2 measured in either foot for CCHD screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100671,PPH Admission Risk Score,flag,,,,,broadMatch,,,,,,PPH admission risk score; no specific OMOP concept for postpartum hemorrhage risk scoring,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100725,Item 1 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 1 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100726,Item 2 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 2 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100727,Item 3 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 3 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100728,Item 4 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 4 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100729,Item 5 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 5 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100730,Item 6 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 6 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100731,Item 7 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 7 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100732,Item 8 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 8 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100733,Item 9 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 9 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100734,Item 10 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 10 count used in vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100745,Quantitative Blood Loss - Vaginal (mL),map,21493943,Blood loss [Volume] Measured,LOINC,81661-1,exactMatch,0.9,Measurement,,,,Quantitative blood loss measured for vaginal delivery,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100761,Simplified Bishop Score,flag,,,,,broadMatch,,,,,,Simplified Bishop score; no specific OMOP concept for cervical assessment scoring,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100771,Does the woman require prompt attention?,flag,,,,,broadMatch,,,,,,AWHONN MFTI triage urgency question; no specific OMOP concept for obstetric triage,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100778,Fetal Heart Rate auscultated for more than 60 seconds,map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Fetal heart rate auscultated >60 seconds for MFTI,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100779,MFTI Score,flag,,,,,broadMatch,,,,,,Maternal Fetal Triage Index total score; no specific OMOP concept,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100804,Non-Pharmacologic Pain Management of Labor,map,4153065,Pain management education,SNOMED,370848006,narrowMatch,0.8,Observation,,,,Non-pharmacologic pain management of labor discussed with patient,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100808,Pain Source,map,3034263,Pain severity - Reported,LOINC,38208-5,broadMatch,0.75,Observation,,,,Pain source classification: labor vs non-labor pain,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100821,Breast Milk - P.O. (mL),map,4028154,Breast milk intake,SNOMED,226406001,exactMatch,0.9,Observation,,,,Breast milk P.O. volume in mL for neonatal feeding,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100822,Breast Milk - Tube (mL),map,4028154,Breast milk intake,SNOMED,226406001,exactMatch,0.9,Observation,,,,Breast milk tube feeding volume in mL for neonatal feeding,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100824,Fetus B - Fetal Heart Rate Auscultated for More Than 60 Seconds,map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Fetal heart rate auscultated >60 seconds for Fetus B in MFTI,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100825,Fetus C - Fetal Heart Rate Auscultated for More Than 60 Seconds,map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Fetal heart rate auscultated >60 seconds for Fetus C in MFTI,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100826,Fetus D - Fetal Heart Rate Auscultated for More Than 60 Seconds,map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Fetal heart rate auscultated >60 seconds for Fetus D in MFTI,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100827,Fetus E - Fetal Heart Rate Auscultated for More Than 60 Seconds,map,40758412,Fetal Heart rate,LOINC,55283-6,exactMatch,0.95,Measurement,,,,Fetal heart rate auscultated >60 seconds for Fetus E in MFTI,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100833,Total Wet Weight (g),map,4099154,Body weight,SNOMED,27113001,narrowMatch,0.8,Measurement,,,,Total wet weight of soaked items for vaginal QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100837,Minutes Between Contractions in Non-Stress Test 2,map,4122728,Duration of labor,SNOMED,289248003,broadMatch,0.7,Measurement,,,,Minutes between contractions in Non-Stress Test 2,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100838,Minutes Between Contractions in Non-Stress Test 3,map,4122728,Duration of labor,SNOMED,289248003,broadMatch,0.7,Measurement,,,,Minutes between contractions in Non-Stress Test 3,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100839,Minutes Between Contractions in Non-Stress Test 4,map,4122728,Duration of labor,SNOMED,289248003,broadMatch,0.7,Measurement,,,,Minutes between contractions in Non-Stress Test 4,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100840,Minutes Between Contractions in Non-Stress Test 5,map,4122728,Duration of labor,SNOMED,289248003,broadMatch,0.7,Measurement,,,,Minutes between contractions in Non-Stress Test 5,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100862,Variability in Waveform for Non-Stress Test 2,map,4089747,Fetal heart rate variability,SNOMED,251671002,exactMatch,0.95,Measurement,,,,Variability in waveform for Non-Stress Test 2,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100878,Baseline Fetal Heart Rate for Non-Stress Test 2,map,4092353,Baseline fetal heart rate,SNOMED,251670001,exactMatch,0.95,Measurement,,,,Baseline fetal heart rate for Non-Stress Test 2,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100879,Baseline Fetal Heart Rate for Non-Stress Test 3,map,4092353,Baseline fetal heart rate,SNOMED,251670001,exactMatch,0.95,Measurement,,,,Baseline fetal heart rate for Non-Stress Test 3,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100880,Baseline Fetal Heart Rate for Non-Stress Test 4,skip,,,,,broadMatch,,,,,,No specific mapping identified for this item.,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100881,Baseline Fetal Heart Rate for Non-Stress Test 5,map,4092353,Baseline fetal heart rate,SNOMED,251670001,exactMatch,0.95,Measurement,,,,Baseline fetal heart rate for NST 5. Exact match to SNOMED baseline FHR concept. OB fetal monitoring.,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100882,Amniotic Fluid Volume (cm) for Non-Stress Test 2,map,4090721,Finding of amniotic fluid volume,SNOMED,249131000,broadMatch,0.75,Measurement,,,,Amniotic fluid volume measurement (cm) for NST 2. Maps broadly to amniotic fluid volume finding.,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100883,Amniotic Fluid Volume (cm) for Non-Stress Test 3,map,4090721,Finding of amniotic fluid volume,SNOMED,249131000,broadMatch,0.75,Measurement,,,,"Amniotic fluid volume measurement (cm) for NST 3. Same instrument, different test instance.",no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100884,Amniotic Fluid Volume (cm) for Non-Stress Test 4,map,4090721,Finding of amniotic fluid volume,SNOMED,249131000,broadMatch,0.75,Measurement,,,,"Amniotic fluid volume measurement (cm) for NST 4. Same instrument, different test instance.",no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100885,Amniotic Fluid Volume (cm) for Non-Stress Test 5,map,4090721,Finding of amniotic fluid volume,SNOMED,249131000,broadMatch,0.75,Measurement,,,,"Amniotic fluid volume measurement (cm) for NST 5. Same instrument, different test instance.",no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020100904,Urine Protein,map,37394350,Urine protein test,SNOMED,1030631000000106,exactMatch,0.9,Measurement,,,,Urine protein dipstick from OB prenatal vitals. Standard prenatal screening measurement.,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
